latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness,cluster_label
-28.535,-62.22536,341.55,0.54,0.51,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.93,48.27,D,341.55,0
-28.53382,-62.21986,340.59,0.54,0.51,2025-09-06,1828,N,VIIRS,60,2.0NRT,299.02,48.52,D,340.59,0
-28.47711,-58.55408,334.34,0.44,0.62,2025-09-06,1828,N,VIIRS,60,2.0NRT,291.47,2.65,D,334.34,0
-28.47612,-60.3124,346.28,0.35,0.56,2025-09-06,1828,N,VIIRS,60,2.0NRT,294.03,5.56,D,346.28,0
-28.47529,-60.30885,367.0,0.35,0.56,2025-09-06,1828,N,VIIRS,80,2.0NRT,295.93,5.56,D,367.0,0
-28.47446,-60.3053,325.79,0.35,0.56,2025-09-06,1828,N,VIIRS,60,2.0NRT,292.68,4.89,D,325.79,0
-28.42391,-56.36427,326.72,0.58,0.7,2025-09-06,1828,N,VIIRS,60,2.0NRT,289.86,4.26,D,326.72,0
-28.42249,-56.36192,332.61,0.58,0.7,2025-09-06,1828,N,VIIRS,60,2.0NRT,289.69,4.52,D,332.61,0
-28.42205,-57.75104,328.54,0.49,0.65,2025-09-06,1828,N,VIIRS,60,2.0NRT,288.78,3.97,D,328.54,0
-28.41756,-56.36643,342.7,0.58,0.7,2025-09-06,1828,N,VIIRS,60,2.0NRT,289.91,10.86,D,342.7,0
-28.41613,-56.36404,336.45,0.58,0.7,2025-09-06,1828,N,VIIRS,60,2.0NRT,289.23,8.47,D,336.45,0
-28.39251,-60.68482,329.22,0.33,0.55,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.58,1.1,D,329.22,0
-28.30866,-59.46157,367.0,0.39,0.59,2025-09-06,1828,N,VIIRS,80,2.0NRT,296.38,11.55,D,367.0,0
-28.26941,-58.3271,328.18,0.46,0.63,2025-09-06,1828,N,VIIRS,60,2.0NRT,289.16,2.81,D,328.18,0
-28.19592,-62.28559,339.03,0.54,0.51,2025-09-06,1828,N,VIIRS,60,2.0NRT,300.05,3.28,D,339.03,0
-28.18781,-62.29366,336.05,0.54,0.51,2025-09-06,1828,N,VIIRS,60,2.0NRT,299.98,8.06,D,336.05,0
-28.17373,-62.27409,344.29,0.54,0.51,2025-09-06,1828,N,VIIRS,60,2.0NRT,300.89,7.16,D,344.29,0
-28.16562,-64.22047,341.95,0.42,0.45,2025-09-06,1828,N,VIIRS,60,2.0NRT,300.14,2.56,D,341.95,0
-28.11959,-59.00178,347.24,0.42,0.61,2025-09-06,1828,N,VIIRS,60,2.0NRT,293.77,4.63,D,347.24,0
-28.11877,-59.00265,349.99,0.42,0.61,2025-09-06,1828,N,VIIRS,60,2.0NRT,294.89,4.4,D,349.99,0
-28.11267,-59.02234,337.58,0.42,0.61,2025-09-06,1828,N,VIIRS,60,2.0NRT,290.07,3.9,D,337.58,0
-28.11174,-59.02328,344.14,0.42,0.61,2025-09-06,1828,N,VIIRS,60,2.0NRT,290.54,4.58,D,344.14,0
-28.1084,-59.00518,325.35,0.42,0.61,2025-09-06,1828,N,VIIRS,60,2.0NRT,290.6,4.89,D,325.35,0
-28.10823,-61.45773,340.14,0.61,0.53,2025-09-06,1828,N,VIIRS,60,2.0NRT,298.31,6.93,D,340.14,0
-28.09362,-57.85463,337.95,0.49,0.65,2025-09-06,1828,N,VIIRS,60,2.0NRT,288.98,3.33,D,337.95,0
-28.09201,-60.28805,341.76,0.35,0.57,2025-09-06,1828,N,VIIRS,60,2.0NRT,293.57,3.79,D,341.76,0
-28.0886,-60.2902,338.77,0.35,0.57,2025-09-06,1828,N,VIIRS,60,2.0NRT,294.0,3.97,D,338.77,0
-28.08776,-60.28656,329.45,0.35,0.57,2025-09-06,1828,N,VIIRS,60,2.0NRT,295.48,3.85,D,329.45,0
-28.06931,-61.91154,334.78,0.57,0.52,2025-09-06,1828,N,VIIRS,60,2.0NRT,298.82,5.84,D,334.78,0
-28.03381,-61.93367,331.34,0.57,0.52,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.85,3.87,D,331.34,3
-28.03095,-61.93668,332.61,0.57,0.52,2025-09-06,1828,N,VIIRS,60,2.0NRT,297.34,7.66,D,332.61,0
-28.0256,-61.9421,328.96,0.57,0.52,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.04,7.77,D,328.96,0
-28.02143,-61.93932,335.62,0.57,0.52,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.05,6.52,D,335.62,0
-28.02084,-61.94341,334.21,0.57,0.52,2025-09-06,1828,N,VIIRS,60,2.0NRT,295.21,5.84,D,334.21,0
-28.01667,-61.94064,347.37,0.57,0.52,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.76,6.52,D,347.37,0
-28.01546,-64.42833,335.67,0.41,0.45,2025-09-06,1828,N,VIIRS,60,2.0NRT,301.08,4.74,D,335.67,0
-28.01477,-61.93891,342.0,0.57,0.52,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.27,5.84,D,342.0,0
-28.01413,-62.02121,348.24,0.56,0.52,2025-09-06,1828,N,VIIRS,60,2.0NRT,296.51,7.66,D,348.24,0
-27.96576,-63.41793,339.5,0.47,0.48,2025-09-06,1828,N,VIIRS,60,2.0NRT,298.68,6.06,D,339.5,0
-27.94195,-61.52677,354.56,0.6,0.53,2025-09-06,1828,N,VIIRS,60,2.0NRT,299.58,14.81,D,354.56,0
-27.94173,-61.52875,340.56,0.61,0.53,2025-09-06,1828,N,VIIRS,60,2.0NRT,298.96,11.99,D,340.56,0
-27.94037,-61.52256,334.39,0.61,0.53,2025-09-06,1828,N,VIIRS,60,2.0NRT,301.89,11.99,D,334.39,0
-27.88877,-65.17944,339.43,0.57,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,310.01,70.63,D,339.43,3
-27.88765,-65.17366,333.51,0.57,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,300.3,70.63,D,333.51,0
-27.88367,-65.17462,335.36,0.57,0.43,2025-09-06,1828,N,VIIRS,60,2.0NRT,303.91,70.63,D,335.36,0
